step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,41,1,0.36131611532358515,0.0,0.0,0.4872071744380082,0.0,0.0,,,,,,
2,74,2,0.3700738534195625,0.0,0.0,,,,,,,,,
3,107,3,0.22843073428540267,0.0,0.0,,,,,,,,,
4,148,4,0.18925983548845396,0.0,0.0,,,,,,,,,
5,173,5,0.06851752833268013,1.0,1.0,,,,,,,,,
6,262,6,0.02713874108659432,1.0,1.0,,,,,,,,,
7,375,7,0.05557006998931683,1.0,1.0,,,,,,,,,
8,416,8,0.037689568018540745,1.0,1.0,,,,,,,,,
9,441,9,0.03327601474069525,1.0,1.0,0.031220039141662707,1.0,1.0,,,,,,
10,506,10,0.031220039141662707,1.0,1.0,,,,,,,,,
11,539,11,0.22557505111595672,0.0,0.0,,,,,,,,,
12,620,12,0.0694835970180284,0.0,0.0,,,,,,,,,
13,661,13,0.0693355020871386,0.0,0.0,,,,,,,,,
14,694,14,0.045931317708786994,0.0,0.0,,,,,,,,,
15,735,15,0.028463621933449756,1.0,1.0,,,,,,,,,
16,760,16,0.020192973992889166,1.0,1.0,,,,,,,,,
17,785,17,0.017002813986327962,1.0,1.0,0.028524243063839095,1.0,1.0,,,,,,
18,874,18,0.026500673530919647,1.0,1.0,,,,,,,,,
19,899,19,0.022513926106815536,1.0,1.0,,,,,,,,,
20,1020,20,0.05054291217876016,1.0,1.0,,,,,,,,,
21,1053,21,0.17471788834329344,0.0,0.0,,,,,,,,,
22,1094,22,0.02836188224214129,1.0,1.0,,,,,,,,,
23,1135,23,0.034800293915439394,1.0,1.0,,,,,,,,,
24,1248,24,0.0544320389855836,1.0,1.0,,,,,,,,,
25,1281,25,0.03246741641443805,1.0,1.0,0.032951377297674,1.0,1.0,,,,,,
26,1322,26,0.03000724712666124,1.0,1.0,,,,,,,,,
27,1347,27,0.021077466012599567,1.0,1.0,,,,,,,,,
28,1372,28,0.02064567490713671,1.0,1.0,,,,,,,,,
29,1437,29,0.05725409627833869,0.0,0.0,,,,,,,,,
30,1470,30,0.016648737896612146,1.0,1.0,,,,,,,,,
31,1495,31,0.14679759012768046,0.0,0.0,,,,,,,,,
32,1528,32,0.020843235227948755,1.0,1.0,,,,,,,,,
33,1561,33,0.03276810964700416,1.0,1.0,0.04024752794350206,0.0,0.0,,,,,,
34,1626,34,0.040496221549910845,0.0,0.0,,,,,,,,,
35,1651,35,0.04781833109387662,0.0,0.0,,,,,,,,,
36,1684,36,0.030358177107700612,1.0,1.0,,,,,,,,,
37,1717,37,0.031779489604959965,1.0,1.0,,,,,,,,,
38,1830,38,0.051204410766845926,1.0,1.0,,,,,,,,,
39,1855,39,0.012860343157080935,1.0,1.0,,,,,,,,,
40,1880,40,0.014500696788697193,1.0,1.0,,,,,,,,,
41,1913,41,0.013097912614466625,1.0,1.0,0.01010702661355026,1.0,1.0,,,,,,
42,1954,42,0.017973546807654204,1.0,1.0,,,,,,,,,
43,1987,43,0.012875115118658869,1.0,1.0,,,,,,,,,
44,2012,44,0.008627477259433362,1.0,1.0,,,,,,,,,
45,2125,45,0.050168912711680086,1.0,1.0,,,,,,,,,
46,2166,46,0.026348685119068252,1.0,1.0,,,,,,,,,
47,2207,47,0.018747832050081344,1.0,1.0,,,,,,,,,
48,2248,48,0.02532638164306991,1.0,1.0,,,,,,,,,
49,2289,49,0.016451444947510028,1.0,1.0,0.2877718317729523,0.0,0.0,,,,,,
50,2330,50,0.02226830317033455,1.0,1.0,,,,,,,,,
51,2363,51,0.3006473934961832,0.0,0.0,,,,,,,,,
52,2396,52,0.00395260537712602,1.0,1.0,,,,,,,,,
53,2461,53,0.02284509134817199,1.0,1.0,,,,,,,,,
54,2542,54,0.026175346902920865,1.0,1.0,,,,,,,,,
55,2567,55,0.010952326249098403,1.0,1.0,,,,,,,,,
56,2592,56,0.014134095167488947,1.0,1.0,,,,,,,,,
57,2697,57,0.028973295194849088,1.0,1.0,0.01551858661980077,1.0,1.0,,,,,,
58,2722,58,0.014299217964702012,1.0,1.0,,,,,,,,,
59,2747,59,0.00834741592252006,1.0,1.0,,,,,,,,,
60,2788,60,0.02308588253887138,1.0,1.0,,,,,,,,,
61,2813,61,0.00906841204026326,1.0,1.0,,,,,,,,,
62,2934,62,0.046945270747467786,1.0,1.0,,,,,,,,,
63,2975,63,0.022567503625876274,1.0,1.0,,,,,,,,,
64,3008,64,0.007562187540606828,1.0,1.0,,,,,,,,,
65,3041,65,0.007075891750610026,1.0,1.0,0.11367509979154419,0.0,0.0,,,,,,
66,3106,66,0.026230665613984454,1.0,1.0,,,,,,,,,
67,3147,67,0.020585892829170917,1.0,1.0,,,,,,,,,
68,3172,68,0.007856541990040567,1.0,1.0,,,,,,,,,
69,3213,69,0.020074003617279235,1.0,1.0,,,,,,,,,
70,3334,70,0.0462450483632371,1.0,1.0,,,,,,,,,
71,3359,71,0.007845374103732561,1.0,1.0,,,,,,,,,
72,3400,72,0.01965699916551239,1.0,1.0,,,,,,,,,
73,3441,73,0.018607642447226683,1.0,1.0,0.00570118249716567,1.0,1.0,,,,,,
74,3474,74,0.00448214579580963,1.0,1.0,,,,,,,,,
75,3539,75,0.020936313641382185,1.0,1.0,,,,,,,,,
76,3572,76,0.1889746366855661,0.0,0.0,,,,,,,,,
77,3613,77,0.017631995898351304,1.0,1.0,,,,,,,,,
78,3654,78,0.015714159191644286,1.0,1.0,,,,,,,,,
79,3679,79,0.008651148353856115,1.0,1.0,,,,,,,,,
80,3720,80,0.020361671341634066,1.0,1.0,,,,,,,,,
81,3785,81,0.022455738474429835,1.0,1.0,0.022708754392936042,1.0,1.0,,,,,,
82,3826,82,0.022248722614873262,1.0,1.0,,,,,,,,,
83,3867,83,0.016634664889323178,1.0,1.0,,,,,,,,,
84,3892,84,0.015879148010002002,1.0,1.0,,,,,,,,,
85,3981,85,0.02129320362886078,1.0,1.0,,,,,,,,,
86,4022,86,0.013185540407779629,1.0,1.0,,,,,,,,,
87,4055,87,0.010587486446347612,1.0,1.0,,,,,,,,,
88,4080,88,0.02218080692789954,1.0,1.0,,,,,,,,,
89,4121,89,0.016163602579075814,1.0,1.0,0.018447448047036234,1.0,1.0,,,,,,
90,4210,90,0.018967157456083277,1.0,1.0,,,,,,,,,
91,4243,91,0.003596439868570087,1.0,1.0,,,,,,,,,
92,4316,92,0.10245768553965415,0.0,0.0,,,,,,,,,
93,4357,93,0.020223705363583578,1.0,1.0,,,,,,,,,
94,4390,94,0.008596739505919687,1.0,1.0,,,,,,,,,
95,4415,95,0.0059946262955782,1.0,1.0,,,,,,,,,
96,4448,96,0.02165651834432538,1.0,1.0,,,,,,,,,
97,4473,97,0.006453505932343735,1.0,1.0,0.004207050470713512,1.0,1.0,,,,,,
98,4594,98,0.046886877945600036,1.0,1.0,,,,,,,,,
99,4627,99,0.11959624585262645,0.0,0.0,,,,,,,,,
100,4652,100,0.009025092869123908,1.0,1.0,,,,,,,,,
101,4677,101,0.01159204928218969,1.0,1.0,,,,,,,,,
102,4718,102,0.021466303803201303,1.0,1.0,,,,,,,,,
103,4743,103,0.024004962817707566,1.0,1.0,,,,,,,,,
104,4816,104,0.04579475395743631,0.0,0.0,,,,,,,,,
105,4849,105,0.018203865305422368,1.0,1.0,0.04196793750077632,0.0,0.0,,,,,,
106,4890,106,0.017205431483860594,1.0,1.0,,,,,,,,,
107,4923,107,0.023016606093224257,1.0,1.0,,,,,,,,,
108,4996,108,0.03363417840498894,1.0,1.0,,,,,,,,,
109,5029,109,0.01055616332631871,1.0,1.0,,,,,,,,,
110,5070,110,0.010952473264303991,1.0,1.0,,,,,,,,,
111,5095,111,0.008982319584368573,1.0,1.0,,,,,,,,,
112,5120,112,0.00998764863734929,1.0,1.0,,,,,,,,,
113,5145,113,0.0102364023392632,1.0,1.0,0.1434572506475815,0.0,0.0,,,,,,
114,5186,114,0.010304133885405464,1.0,1.0,,,,,,,,,
115,5219,115,0.007398418430739184,1.0,1.0,,,,,,,,,
116,5252,116,0.160425701745653,0.0,0.0,,,,,,,,,
117,5341,117,0.01727596476598013,1.0,1.0,,,,,,,,,
118,5366,118,0.0039912293913948816,1.0,1.0,,,,,,,,,
119,5407,119,0.01271170173792052,1.0,1.0,,,,,,,,,
120,5520,120,0.04855149958462009,1.0,1.0,,,,,,,,,
121,5553,121,0.016561159628035966,1.0,1.0,0.07796625686372863,0.0,0.0,,,,,,
122,5586,122,0.03658135385616333,1.0,1.0,,,,,,,,,
123,5627,123,0.010930833159567555,1.0,1.0,,,,,,,,,
124,5668,124,0.011949884182671667,1.0,1.0,,,,,,,,,
125,5701,125,0.016956832591095008,1.0,1.0,,,,,,,,,
126,5726,126,0.022571875492479496,1.0,1.0,,,,,,,,,
127,5759,127,0.012888053933593255,1.0,1.0,,,,,,,,,
128,5792,128,0.005133158288572304,1.0,1.0,,,,,,,,,
129,5881,129,0.01916009849995052,1.0,1.0,0.013847733811394394,1.0,1.0,,,,,,
130,5906,130,0.012011411931428788,1.0,1.0,,,,,,,,,
131,5931,131,0.007971257554709154,1.0,1.0,,,,,,,,,
132,5964,132,0.08846963041842174,0.0,0.0,,,,,,,,,
133,6189,133,0.033074644572998295,1.0,1.0,,,,,,,,,
134,6310,134,0.04549703621705217,1.0,1.0,,,,,,,,,
135,6343,135,0.009617989432827016,1.0,1.0,,,,,,,,,
136,6384,136,0.014371102429315217,1.0,1.0,,,,,,,,,
137,6417,137,0.014548937769359328,1.0,1.0,0.00995008055856791,1.0,1.0,,,,,,
138,6538,138,0.04630857212240517,1.0,1.0,,,,,,,,,
139,6667,139,0.04324543540203195,1.0,1.0,,,,,,,,,
140,6708,140,0.010653898217366078,1.0,1.0,,,,,,,,,
141,6733,141,0.006511889914133159,1.0,1.0,,,,,,,,,
142,6774,142,0.011161583856330252,1.0,1.0,,,,,,,,,
143,6807,143,0.012623354419356475,1.0,1.0,,,,,,,,,
144,6856,144,0.02774330338124855,1.0,1.0,,,,,,,,,
145,6945,145,0.017150625479364613,1.0,1.0,0.016266316846322296,1.0,1.0,,,,,,
146,6994,146,0.023999675555041906,1.0,1.0,,,,,,,,,
147,7035,147,0.01443589308463561,1.0,1.0,,,,,,,,,
148,7124,148,0.01593858884255083,1.0,1.0,,,,,,,,,
149,7157,149,0.0039451327360802676,1.0,1.0,,,,,,,,,
150,7286,150,0.041224458131234765,1.0,1.0,,,,,,,,,
151,7327,151,0.008721806495872442,1.0,1.0,,,,,,,,,
152,7360,152,0.003449108358909143,1.0,1.0,,,,,,,,,
153,7441,153,0.031120321435428196,1.0,1.0,0.011828955701554756,1.0,1.0,,,,,,
154,7482,154,0.009850116068482748,1.0,1.0,,,,,,,,,
155,7515,155,0.01212568152328231,1.0,1.0,,,,,,,,,
156,7540,156,0.009057329903413725,1.0,1.0,,,,,,,,,
157,7573,157,0.008076899820198376,1.0,1.0,,,,,,,,,
158,7598,158,0.00785573707279582,1.0,1.0,,,,,,,,,
159,7623,159,0.0109080523573175,1.0,1.0,,,,,,,,,
160,7680,160,0.01987976644248452,1.0,1.0,,,,,,,,,
161,7705,161,0.010745363941047492,1.0,1.0,0.010937099401571686,1.0,1.0,,,,,,
162,7730,162,0.30798120539652396,0.0,0.0,,,,,,,,,
163,7763,163,0.00899759478130818,1.0,1.0,,,,,,,,,
164,7804,164,0.01044557543134579,1.0,1.0,,,,,,,,,
165,7837,165,0.03216896385778455,1.0,1.0,,,,,,,,,
166,7902,166,0.025793771446051328,1.0,1.0,,,,,,,,,
167,7927,167,0.016294540036627343,1.0,1.0,,,,,,,,,
168,7952,168,0.01383792414747101,1.0,1.0,,,,,,,,,
169,8073,169,0.0442201690788764,1.0,1.0,0.019650482941906376,1.0,1.0,,,,,,
170,8114,170,0.010494683315548172,1.0,1.0,,,,,,,,,
171,8155,171,0.021872556327361962,1.0,1.0,,,,,,,,,
172,8188,172,0.010315648031782984,1.0,1.0,,,,,,,,,
173,8253,173,0.09507020872195425,0.0,0.0,,,,,,,,,
174,8350,174,0.03518366060497404,1.0,1.0,,,,,,,,,
175,8391,175,0.02231018475806923,1.0,1.0,,,,,,,,,
176,8424,176,0.07556836719186322,0.0,0.0,,,,,,,,,
177,8465,177,0.01612279840865813,1.0,1.0,0.009804825048073933,1.0,1.0,,,,,,
178,8506,178,0.015526040938086228,1.0,1.0,,,,,,,,,
179,8531,179,0.007676232928230699,1.0,1.0,,,,,,,,,
180,8572,180,0.015856357650445716,1.0,1.0,,,,,,,,,
181,8605,181,0.04266274086521662,0.0,0.0,,,,,,,,,
182,8630,182,0.017102236310286872,1.0,1.0,,,,,,,,,
183,8655,183,0.023506063156340434,1.0,1.0,,,,,,,,,
184,8688,184,0.010906938337102476,1.0,1.0,,,,,,,,,
185,8753,185,0.02067501008144973,1.0,1.0,0.01946405619877017,1.0,1.0,0.9347826242446899,0.9696969696969697,0.9411764705882353,0.9950980392156863,0.9982683982683983,0.955223880597015
186,8818,186,0.0253877446284514,1.0,1.0,,,,,,,,,
187,8843,187,0.008552278111844011,1.0,1.0,,,,,,,,,
188,8876,188,0.004885866508084292,1.0,1.0,,,,,,,,,
189,8909,189,0.0096407152939355,1.0,1.0,,,,,,,,,
190,9038,190,0.041447347311209345,1.0,1.0,,,,,,,,,
191,9079,191,0.008069531135470242,1.0,1.0,,,,,,,,,
192,9112,192,0.019019369105776604,1.0,1.0,,,,,,,,,
193,9233,193,0.04434483481046724,1.0,1.0,0.0045015245680891285,1.0,1.0,,,,,,
194,9274,194,0.007292373489035527,1.0,1.0,,,,,,,,,
195,9299,195,0.0043528404197422784,1.0,1.0,,,,,,,,,
196,9340,196,0.008813853941541312,1.0,1.0,,,,,,,,,
197,9365,197,0.006371431822229472,1.0,1.0,,,,,,,,,
198,9406,198,0.00623902668224946,1.0,1.0,,,,,,,,,
199,9439,199,0.012713423611144208,1.0,1.0,,,,,,,,,
200,9480,200,0.01829142275457343,1.0,1.0,,,,,,,,,
201,9705,201,0.028767533754505945,1.0,1.0,0.003386026440469625,1.0,1.0,,,,,,
202,9738,202,0.03952259193970577,0.0,0.0,,,,,,,,,
203,9851,203,0.045343604889194145,1.0,1.0,,,,,,,,,
204,9892,204,0.008729404071214503,1.0,1.0,,,,,,,,,
205,10013,205,0.04341929623221237,1.0,1.0,,,,,,,,,
206,10054,206,0.007295288263360816,1.0,1.0,,,,,,,,,
207,10095,207,0.008120490976995824,1.0,1.0,,,,,,,,,
208,10136,208,0.01641764993843071,1.0,1.0,,,,,,,,,
209,10161,209,0.006405777646996285,1.0,1.0,0.01597132712557709,1.0,1.0,,,,,,
210,10194,210,0.0025642871842273965,1.0,1.0,,,,,,,,,
211,10235,211,0.004703610731382924,1.0,1.0,,,,,,,,,
212,10268,212,0.02592917215889884,1.0,1.0,,,,,,,,,
213,10309,213,0.008380668578890435,1.0,1.0,,,,,,,,,
214,10350,214,0.008051953344805952,1.0,1.0,,,,,,,,,
215,10375,215,0.007385871251860104,1.0,1.0,,,,,,,,,
216,10416,216,0.005717272297546515,1.0,1.0,,,,,,,,,
217,10449,217,0.015528442430270389,1.0,1.0,0.01990651841883543,1.0,1.0,,,,,,
218,10482,218,0.02768984882632594,0.0,0.0,,,,,,,,,
219,10515,219,0.01808141203696323,1.0,1.0,,,,,,,,,
220,10548,220,0.0014204642545382741,1.0,1.0,,,,,,,,,
221,10581,221,0.014154038157057586,1.0,1.0,,,,,,,,,
222,10622,222,0.007296723900188227,1.0,1.0,,,,,,,,,
223,10655,223,0.00897067299892342,1.0,1.0,,,,,,,,,
224,10680,224,0.005515119432669356,1.0,1.0,,,,,,,,,
225,10713,225,0.007543390910368543,1.0,1.0,0.007103388840405386,1.0,1.0,,,,,,
226,10754,226,0.007296255969748019,1.0,1.0,,,,,,,,,
227,10779,227,0.00534076511762881,1.0,1.0,,,,,,,,,
228,10868,228,0.01642789892993113,1.0,1.0,,,,,,,,,
229,10909,229,0.009295455787083485,1.0,1.0,,,,,,,,,
230,10934,230,0.003962355921809527,1.0,1.0,,,,,,,,,
231,10959,231,0.007570776468971113,1.0,1.0,,,,,,,,,
232,10992,232,0.002741338354686604,1.0,1.0,,,,,,,,,
233,11025,233,0.007267029586116678,1.0,1.0,0.011444191882051197,1.0,1.0,,,,,,
234,11066,234,0.004381624559087869,1.0,1.0,,,,,,,,,
235,11091,235,0.005789060645329301,1.0,1.0,,,,,,,,,
236,11124,236,0.004000034101801475,1.0,1.0,,,,,,,,,
237,11189,237,0.018686159788669554,1.0,1.0,,,,,,,,,
238,11214,238,0.007860034823861497,1.0,1.0,,,,,,,,,
239,11239,239,0.0026639150511550726,1.0,1.0,,,,,,,,,
240,11352,240,0.04654545919382193,1.0,1.0,,,,,,,,,
241,11377,241,0.002984911914496706,1.0,1.0,0.01610577152310356,1.0,1.0,,,,,,
242,11410,242,0.006983030153049299,1.0,1.0,,,,,,,,,
243,11435,243,0.2008603759948039,0.0,0.0,,,,,,,,,
244,11476,244,0.009287042262392789,1.0,1.0,,,,,,,,,
245,11525,245,0.019457386839599924,1.0,1.0,,,,,,,,,
246,11574,246,0.018471286773068793,1.0,1.0,,,,,,,,,
247,11615,247,0.004312932416312833,1.0,1.0,,,,,,,,,
248,11656,248,0.0036243171682654065,1.0,1.0,,,,,,,,,
249,11745,249,0.015389378262052975,1.0,1.0,0.013050893215513499,1.0,1.0,,,,,,
250,11818,250,0.030484877124771527,1.0,1.0,,,,,,,,,
251,11851,251,0.00902285473648135,1.0,1.0,,,,,,,,,
252,11884,252,0.008806582555814658,1.0,1.0,,,,,,,,,
253,12013,253,0.04047198609091396,1.0,1.0,,,,,,,,,
254,12054,254,0.0050232971199402525,1.0,1.0,,,,,,,,,
255,12159,255,0.03146750575378414,1.0,1.0,,,,,,,,,
256,12184,256,0.00786894164726012,1.0,1.0,,,,,,,,,
257,12209,257,0.00972143760251735,1.0,1.0,0.014077054748410471,1.0,1.0,,,,,,
258,12282,258,0.03361915087383548,1.0,1.0,,,,,,,,,
259,12307,259,0.052315172771777725,0.0,0.0,,,,,,,,,
260,12348,260,0.01053579846235516,1.0,1.0,,,,,,,,,
261,12381,261,0.0031658054974104746,1.0,1.0,,,,,,,,,
262,12422,262,0.01205441480271111,1.0,1.0,,,,,,,,,
263,12463,263,0.010403739995588697,1.0,1.0,,,,,,,,,
264,12488,264,0.0070665811240238924,1.0,1.0,,,,,,,,,
265,12529,265,0.00961365086103615,1.0,1.0,0.00905852913311719,1.0,1.0,,,,,,
266,12562,266,0.013667365071232779,1.0,1.0,,,,,,,,,
267,12595,267,0.023633310047362105,1.0,1.0,,,,,,,,,
268,12708,268,0.04543655335229817,1.0,1.0,,,,,,,,,
269,12741,269,0.010956583107381448,1.0,1.0,,,,,,,,,
270,12774,270,0.014410940355542154,1.0,1.0,,,,,,,,,
271,12887,271,0.04542291178739106,1.0,1.0,,,,,,,,,
272,12912,272,0.00994476468948657,1.0,1.0,,,,,,,,,
273,12937,273,0.008386650285174255,1.0,1.0,0.014342974209212114,1.0,1.0,,,,,,
274,12994,274,0.018147266913760434,1.0,1.0,,,,,,,,,
275,13035,275,0.006538654259070429,1.0,1.0,,,,,,,,,
276,13068,276,0.009877847383381776,1.0,1.0,,,,,,,,,
277,13101,277,0.0031727705229150165,1.0,1.0,,,,,,,,,
278,13166,278,0.016307113373967466,1.0,1.0,,,,,,,,,
279,13191,279,0.005887442197757385,1.0,1.0,,,,,,,,,
280,13280,280,0.01564549290126293,1.0,1.0,,,,,,,,,
281,13305,281,0.005752370594069968,1.0,1.0,0.006978824477537274,1.0,1.0,,,,,,
282,13346,282,0.016335168046240144,1.0,1.0,,,,,,,,,
283,13371,283,0.0650733174790609,0.0,0.0,,,,,,,,,
284,13396,284,0.002810546016518553,1.0,1.0,,,,,,,,,
285,13485,285,0.014537198734476328,1.0,1.0,,,,,,,,,
286,13566,286,0.022614223145050575,1.0,1.0,,,,,,,,,
287,13599,287,0.004838370113207021,1.0,1.0,,,,,,,,,
288,13632,288,0.04014172601554037,0.0,0.0,,,,,,,,,
289,13657,289,0.0068272184850532835,1.0,1.0,0.002899069070954283,1.0,1.0,,,,,,
290,13778,290,0.04056780969254245,1.0,1.0,,,,,,,,,
291,13803,291,0.0028586753122666173,1.0,1.0,,,,,,,,,
292,13868,292,0.19208342062729516,0.0,0.0,,,,,,,,,
293,13893,293,0.010763978790896545,1.0,1.0,,,,,,,,,
294,13934,294,0.0067817636981822044,1.0,1.0,,,,,,,,,
295,13967,295,0.009486361342342207,1.0,1.0,,,,,,,,,
296,14000,296,0.1134855329726662,0.0,0.0,,,,,,,,,
297,14065,297,0.014872436244601772,1.0,1.0,0.003247401493712611,1.0,1.0,,,,,,
298,14090,298,0.008453926157593135,1.0,1.0,,,,,,,,,
299,14115,299,0.006478150784141689,1.0,1.0,,,,,,,,,
300,14140,300,0.006300340815787422,1.0,1.0,,,,,,,,,
301,14205,301,0.015484150805193622,1.0,1.0,,,,,,,,,
302,14230,302,0.004749118860492368,1.0,1.0,,,,,,,,,
303,14319,303,0.018857628523574022,1.0,1.0,,,,,,,,,
304,14360,304,0.009748939698543837,1.0,1.0,,,,,,,,,
305,14401,305,0.009366595859616609,1.0,1.0,0.0035716364178006183,1.0,1.0,,,,,,
306,14498,306,0.03193726985777782,1.0,1.0,,,,,,,,,
307,14619,307,0.04245903858144251,1.0,1.0,,,,,,,,,
308,14644,308,0.007661057935747522,1.0,1.0,,,,,,,,,
309,14685,309,0.0070795894133632385,1.0,1.0,,,,,,,,,
310,14726,310,0.007909869037675888,1.0,1.0,,,,,,,,,
311,14767,311,0.008039157802236333,1.0,1.0,,,,,,,,,
312,14792,312,0.004267013477024193,1.0,1.0,,,,,,,,,
313,14817,313,0.0069021424798408285,1.0,1.0,0.012983708210138046,1.0,1.0,,,,,,
314,14858,314,0.005970162558935954,1.0,1.0,,,,,,,,,
315,14899,315,0.005226014579985986,1.0,1.0,,,,,,,,,
316,14924,316,0.004436972953249096,1.0,1.0,,,,,,,,,
317,15005,317,0.02090917988610454,1.0,1.0,,,,,,,,,
318,15038,318,0.01687274852518158,1.0,1.0,,,,,,,,,
319,15063,319,0.0034286084494730557,1.0,1.0,,,,,,,,,
320,15104,320,0.0058259491427456855,1.0,1.0,,,,,,,,,
321,15129,321,0.014218641348834354,1.0,1.0,0.009462272379369096,1.0,1.0,,,,,,
322,15250,322,0.041101253618656915,1.0,1.0,,,,,,,,,
323,15283,323,0.007723327267934224,1.0,1.0,,,,,,,,,
324,15372,324,0.01400106868225769,1.0,1.0,,,,,,,,,
325,15413,325,0.0056402808669060965,1.0,1.0,,,,,,,,,
326,15502,326,0.01330174182049053,1.0,1.0,,,,,,,,,
327,15535,327,0.012951216341078292,1.0,1.0,,,,,,,,,
328,15568,328,0.007702305408448921,1.0,1.0,,,,,,,,,
329,15593,329,0.00233715995310528,1.0,1.0,0.10090430374459175,0.0,0.0,,,,,,
330,15618,330,0.004710533475930181,1.0,1.0,,,,,,,,,
331,15651,331,0.007741873095687879,1.0,1.0,,,,,,,,,
332,15716,332,0.010987720771966563,1.0,1.0,,,,,,,,,
333,15741,333,0.005325472617975416,1.0,1.0,,,,,,,,,
334,15766,334,0.007381831800666987,1.0,1.0,,,,,,,,,
335,15791,335,0.019197925892998076,1.0,1.0,,,,,,,,,
336,15824,336,0.01228676644600455,1.0,1.0,,,,,,,,,
337,15865,337,0.007088923838839379,1.0,1.0,0.0032772433804825595,1.0,1.0,,,,,,
338,15906,338,0.007022953629755194,1.0,1.0,,,,,,,,,
339,15931,339,0.005435457404794307,1.0,1.0,,,,,,,,,
340,16052,340,0.04093561813934321,1.0,1.0,,,,,,,,,
341,16077,341,0.009327377094967535,1.0,1.0,,,,,,,,,
342,16118,342,0.006350644650986397,1.0,1.0,,,,,,,,,
343,16151,343,0.011814881276115444,1.0,1.0,,,,,,,,,
344,16192,344,0.004296123096157316,1.0,1.0,,,,,,,,,
345,16233,345,0.005230187705348726,1.0,1.0,0.03927984390400979,0.0,0.0,,,,,,
346,16266,346,0.010122379710619496,1.0,1.0,,,,,,,,,
347,16387,347,0.0406074109057178,1.0,1.0,,,,,,,,,
348,16420,348,0.011784737493061357,1.0,1.0,,,,,,,,,
349,16533,349,0.04488378147586867,1.0,1.0,,,,,,,,,
350,16574,350,0.006899318956178832,1.0,1.0,,,,,,,,,
351,16615,351,0.00632328103694772,1.0,1.0,,,,,,,,,
352,16640,352,0.006382795259487466,1.0,1.0,,,,,,,,,
353,16673,353,0.0068136124559623566,1.0,1.0,0.01830251012032386,1.0,1.0,,,,,,
354,16706,354,0.004431937555007153,1.0,1.0,,,,,,,,,
355,16747,355,0.006779200907094492,1.0,1.0,,,,,,,,,
356,16788,356,0.005477589684106989,1.0,1.0,,,,,,,,,
357,16821,357,0.0027187009936051254,1.0,1.0,,,,,,,,,
358,16854,358,0.00746680791613926,1.0,1.0,,,,,,,,,
359,16895,359,0.004985898222737888,1.0,1.0,,,,,,,,,
360,16928,360,0.007016382109242727,1.0,1.0,,,,,,,,,
361,17001,361,0.06241597279883636,0.0,0.0,0.025818622997012423,1.0,1.0,,,,,,
362,17090,362,0.012982501689402232,1.0,1.0,,,,,,,,,
363,17171,363,0.01858814670528591,1.0,1.0,,,,,,,,,
364,17236,364,0.019674304315917653,1.0,1.0,,,,,,,,,
365,17277,365,0.0065508874998195105,1.0,1.0,,,,,,,,,
366,17310,366,0.0060593176436691465,1.0,1.0,,,,,,,,,
367,17343,367,0.007509909824569263,1.0,1.0,,,,,,,,,
368,17376,368,0.00289684487633167,1.0,1.0,,,,,,,,,
369,17409,369,0.009802874652941683,1.0,1.0,0.009429889484254092,1.0,1.0,,,,,,
